rank,song,artist
1,Square (2017),백예린
2,METEOR,창모(CHANGMO)
3,Blueming,아이유(IU)
4,Into the Unknown,Idina Menzel(이디나 멘젤)
5,HIP,마마무(Mamamoo)
6,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따
7,나의 오랜 연인에게,다비치
8,0310,백예린
9,그때의 우리,펀치 (Punch)
10,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",염따
11,늦은 밤 너의 집 앞 골목길에서,노을
12,십이월 이십오일의 고백,정승환
13,Show Yourself,Idina Menzel(이디나 멘젤)
14,첫 겨울이니까,성시경
15,와르르,김범수
16,Love poem,아이유(IU)
17,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
18,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
19,Santa Tell Me,Ariana Grande(아리아나 그란데)
20,시간의 바깥,아이유(IU)
21,Popo (How deep is our love?),백예린
22,날 보러 와요 (Come See Me),에이오에이(AOA)
23,+소중한 추억190519+,CL
24,All I Want for Christmas Is You,Mariah Carey(머라이어 캐리)
25,Snowman,Sia(시아)
26,불티 (Spark),태연 (TAEYEON)
27,안녕,폴킴(Paul Kim)
28,"FEVER (Feat. 수퍼비, BIBI)",박진영
29,LION,(여자)아이들
30,Some Things Never Change,Kristen Bell(크리스틴 벨)
31,헤어진 우리가 지켜야 할 것들,김나영
32,unlucky,아이유(IU)
33,Obsession,EXO
34,Rest,백예린
35,영화 속에 나오는 주인공처럼,펀치 (Punch)
36,All Is Found,Evan Rachel Wood(이반 레이첼 우드)
37,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
38,Bunny,백예린
39,Into the Unknown (Panic! At The Disco Version),Panic! At The Disco(패닉 앳 더 디스코)
40,이 번호로 전화해줘,바이브
41,"숨겨진 세상 (Into the Unknown End Credit Version) (""겨울왕국 2"")",태연 (TAEYEON)
42,그 사람,아이유(IU)
43,2002,Anne-Marie(앤 마리)
44,미리 메리 크리스마스 (feat. 천둥 Of MBLAQ),아이유(IU)
45,사계 (Four Seasons),태연 (TAEYEON)
46,"인기 (feat. 송가인, 챈슬러)",MC몽
47,그저 바라본다,에일리(Ailee)
48,+ONE AND ONLY180228+,CL
49,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽(Maktub)
50,bad guy,Billie Eilish(빌리 아일리시)
51,워커홀릭,볼빨간사춘기
52,Memories,Maroon 5(마룬 파이브)
53,새 사랑,송하예
54,Señorita,Shawn Mendes(션 멘데스)
55,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN(박혜원)
56,자장가,아이유(IU)
57,그대라는 시,태연 (TAEYEON)
58,New Future,이용신
59,운명이 내게 말해요,헤이즈(Heize)
60,작은 것들을 위한 시 (Boy With Luv) (feat. Halsey),방탄소년단
61,Feel Special,TWICE (트와이스)
62,너를 만나,폴킴(Paul Kim)
63,크리스마스니까,성시경
64,사랑이란 멜로는 없어,전상근
65,니 소식,송하예
66,우연인 듯 운명,10cm(십센치)
67,포장마차,황인욱
68,시든 꽃에 물을 주듯,HYNN(박혜원)
69,Lost in the Woods,Jonathan Groff(조나단 그로프)
70,조금 취했어 (Prod. 2soo),임재현
71,기억해줘요 내 모든 날과 그때를,거미
72,Don't Start Now,Dua Lipa(두아 리파)
73,Datoom,백예린
74,With You,Crush
75,+DONE161201+,CL
76,Speechless (Full),Naomi Scott
77,다시 만날까 봐,V.O.S.
78,lovelovelove,백예린
79,허전해,폴킴(Paul Kim)
80,Meant to be,백예린
81,있어줘요,장덕철
82,Love Chronicle,이용신
83,밤편지,아이유(IU)
84,Mr.gloomy,백예린
85,London,백예린
86,Gravity,태연 (TAEYEON)
87,Not a girl,백예린
88,사랑에 연습이 있었다면 (Prod. 2soo),임재현
89,맵고짜고단거 (Feat. 페노메코),다이나믹듀오
90,이별주,황인욱
91,빌었어,창모(CHANGMO)
92,Point (Feat. Loopy),백예린
93,ROXANNE,Arizona Zervas
94,Berlin,백예린
95,True lover,백예린
96,5월의 밤,Zion.T
97,Paris In The Rain,Lauv(라우브)
98,사랑이 식었다고 말해도 돼,먼데이 키즈(Monday Kiz)
99,가을밤 떠난 너,케이시
100,can i b u,백예린
